context,question,answer,url
"On 24/5, Tian Nam Group through the resignation of the Chief Financial Officer of Tian Nam Group, reported that the company's financial results were announced on 15/39/2015. However, the company has not yet completed its transaction with the company's parent company, TNA Group, due to the fact that it has filed a forecasted loss of $0. 0 billion, which is not yet due to the company's shareholder's control period, but has been approved by the company's shareholder's controls board, the company has not yet filed a forecasted loss of $0.",When were Tian Nam Group's financial results announced?,On 15/39/2015.,https://www.tinnhanhchungkhoan.vn/vua-mien-nhiem-ke-toan-truong-thien-nam-group-tna-tiep-tuc-mien-nhiem-chuc-giam-doc-tai-chinh-doi-voi-ong-pham-viet-dat-post345895.html
"(June 24, 2015) The HOSE approved the listing of 110 million shares of CTCP Milk Cows Overseas (MCM) on the HOSE exchange. The approval of HOSE meant that MCM shares would soon officially move the exchange from UPCoM to HOSE. With the closing price of the 24 May trading session on UPCoM at 39.","What was the closing price of CTCP Milk Cows Overseas (MCM) shares on the UPCoM exchange on May 24, 2015?",39,https://www.tinnhanhchungkhoan.vn/giong-bo-sua-moc-chau-mcm-duoc-chap-thuan-niem-yet-110-trieu-co-phieu-tren-san-hose-post345896.html
"The number of shares in the company's marketplace is low, which guarantees the stock's liquidity. According to the PVN Restructuring Plan, the Group will divest itself of PVI at the latest in 2025. A joint venture will be established to implement this.",When will the PVN Group divest itself of PVI according to the restructuring plan?,At the latest in 2025.,https://www.tinnhanhchungkhoan.vn/pvi-holdings-pvi-se-trien-khai-thoai-von-nha-nuoc-den-het-nam-2025-post345888.html
"(CNN) The Chairman of the STCP and the related fund group Dragon Capital continued to buy shares in CTCP Investments Nam Long (NYSE: NLG) on 22/5, whereas, the Dragon Group continued to buy shares in CTCP Investments Nam Long (NYSE: NLG). The Chairman of the STCP Nam Long from 22/5 to 24/5, whereas, Chairman Nguyen Xu Quang sold 2 million shares in NLG, down from 11. 03%, to 10.","Who sold 2 million shares in CTCP Investments Nam Long (NLG) from 22/5 to 24/5, reducing their stake from 11.03% to 10%?",Chairman Nguyen Xu Quang.,https://www.tinnhanhchungkhoan.vn/nam-long-nlg-ong-nguyen-xuan-quang-da-ban-ra-2-trieu-co-phieu-post345894.html
"Pyn Elite Fund sold all 765,000 EBS shares (equivalent to 7. 68%) of Education Book in Hanoi. In the 14/5 session, EBS shares recorded the correct transaction with volume by unit trading with a total value of 7.",How many EBS shares did Pyn Elite Fund sell?,"765,000 shares.",https://vietnambiz.vn/pyn-elite-fund-da-ban-toan-bo-mot-co-phieu-giao-duc-202452423321810.htm
"On 24/05/2024, Mr. Phạm Gia Phú - Chairman of CTCP Construction No. 5 (HOSE: SC5) and Ms.",Who is the Chairman of CTCP Construction No. 5?,Mr. Pháº¡m Gia PhÃº.,https://vietstock.vn/2024/05/ong-vu-dinh-do-tu-nhiem-chu-tich-hdqt-dnp-sau-gan-thap-ky-gan-bo-214-1192740.htm
"The market received a strongly increased liquidity during the week. The market received a strong decline in the number of private information such as: The Bank of China's high-level liquidity in many industry groups, but the insurers were more consistent and received much investor interest. At the end of the trading week, the VN-Index index dropped 11.",What happened to the VN-Index at the end of the trading week?,It dropped 11 points.,https://www.tinnhanhchungkhoan.vn/top-10-co-phieu-tanggiam-manh-nhat-tuan-cac-co-phieu-bao-hiem-tao-song-post345885.html
"According to TS Nguyen Viet, Vice President of the Institute for Economic Research and Policy (VEPR), the last few months have seen a significant improvement in exports and exports. However, the last few months have seen a significant increase in the price of foreign exports. The last few months have seen a significant increase in the price of foreign exports and exports, although the last few months have seen a significant increase in the price of foreign exports.",What has been the trend in the price of foreign exports over the last few months according to TS Nguyen Viet?,There has been a significant increase.,https://www.tinnhanhchungkhoan.vn/kho-khan-van-de-nang-doanh-nghiep-post345939.html
"If the transaction is successful, the share of the company in ITA will increase from 7. 79% to 11. 84%, which is equivalent to nearly 111.",By what percentage will the company's share in ITA increase if the transaction is successful?,4.05%.,https://vietstock.vn/2024/05/to-chuc-lien-quan-den-lanh-dao-ita-muon-mua-thoa-thuan-gan-38-trieu-cp-739-1193258.htm
"The Dow Jones index recorded its strongest short-term peak since early 2024 when the US economic data showed that the supply-demand index was at its peak. In terms of technical data, the pace of the swinging pace at its peak was normal and the context of the market news only justified the market's adjustment. The decline in the US-Index's decline also coincided with the decline in the global stock market.",What was the reason for the decline in the US-Index according to the context provided?,The decline in the US-Index coincided with the decline in the global stock market.,https://www.tinnhanhchungkhoan.vn/co-hoi-o-nhom-vn30-post345946.html
The dollar slipped but still gained momentum as data on key U. S. commodity orders recovered.,What impact did the recovery in data on key U.S. commodity orders have on the dollar?,The dollar slipped but still gained momentum.,https://vietnambiz.vn/ty-gia-usd-hom-nay-275-mo-phien-dau-tuan-o-muc-thap-2024524135639907.htm
"After becoming a major shareholder in Nam Long, Dragon Capital Group acquired net of 3. 3 million cp NLG from 21 May to 24 May. The two Dragon Capital members, Saigon Investments Limited and Samsung Vietnam Securities Master Investment Trust (Equity), reportedly acquired a total of 1.",How many Nam Long shares did Dragon Capital Group acquire net of 3.3 million cp from 21 May to 24 May?,3.3 million shares.,https://vietnambiz.vn/nhom-dragon-capital-tiep-tuc-gom-co-phieu-nlg-20245277451959.htm
"TOS is about to split the dividend of nearly 140 billion VND from TOS's TTCP Maritime Services (UPCoM) on 25/06/2024. By the end of 2023, TOS has one major shareholder, TNHH Corporation, which is not entitled to the dividend. The transaction date is 31/05/2024.",When is TOS scheduled to split the dividend from TTCP Maritime Services?,On 25/06/2024.,https://vietstock.vn/2024/05/tos-sap-chia-co-tuc-gan-140-ty-dong-738-1193277.htm
"MCM shares are currently 110 million cp listed on the HOSE exchange. MCM shares are currently 110 million cp listed on the UPCoM exchange. MCM shares are still owned by the Vietnamese-Changhai Stock Exchange (UPCoM: VLC) as the largest shareholder, and are also the parent company with an operating share of 59.",What is the total number of MCM shares currently listed on both the HOSE and UPCoM exchanges?,110 million cp.,https://vietstock.vn/2024/05/co-phieu-mcm-duoc-chap-thuan-niem-yet-tren-hose-830-1193281.htm
"The company's shares were ""stone tea shares"", with a 200% dividend in cash. The highlight of the meeting was the 2023 share price in cash but the CTCP General Mechanics (Fomeco, UPCoM: FBC) proposed to share the record 200% dividend in cash in 2023. Fomeco announced on 13 May that the closing date for the shareholder listing of the 2024 General Election, expected to hold the gas launch on 11 June in Thailand.",What percentage of dividend in cash was proposed by CTCP General Mechanics in 2023?,200%.,https://vietstock.vn/2024/05/cong-ty-ban-phu-tung-co-co-phieu-tra-da-tinh-chia-co-tuc-200-bang-tien-738-1193267.htm
"Fed's preferred inflation rate is projected to cool in April According to forecasts from economists, the core consumer price index (CPI) will rise 0. 2% from the previous month, which is the lowest level in 2024. While the Fed's preferred inflation rate is likely to drop slightly in April 2024.",What is the projected increase in the core consumer price index (CPI) for April 2024?,0.2% from the previous month.,https://vietstock.vn/2024/05/thuoc-do-lam-phat-yeu-thich-cua-fed-duoc-du-bao-ha-nhiet-trong-thang-4-775-1193288.htm
"The following analysis may serve the short-term and long-term benchmark of Vietstock's PTKT viewpoint: BMI, CII, HPG, HDB, MSN, OCB, STB, TCB, VIB and VPB. These stocks are selected according to the technical analysis signals, SMA SMA SMA liquidity, investor interest rate. The following analysis may serve the short-term and long-term benchmark of the Vietnamese Stock Exchange.",Which stocks are included in the short-term and long-term benchmark analysis for the Vietnamese Stock Exchange based on Vietstock's PTKT viewpoint?,"BMI, CII, HPG, HDB, MSN, OCB, STB, TCB, VIB, and VPB.",https://vietstock.vn/2024/05/tuan-27-31052024-10-co-phieu-nong-duoi-goc-nhin-ptkt-cua-vietstock-585-1193220.htm
"Over time, the frozen food industry has grown in popularity, with the mainstream market increasing in the developed countries, with the mainstream market increasing in size and importance. The fast-processing, easy-to-preserve frozen food market has been the choice of many households, especially those who are busy but still want to eat well. The growing demand for frozen food products from the Asian food industry has been felt by the Chinese food industry, with the mainstream market increasing in size and importance.",What factor has contributed to the increasing popularity of the frozen food industry over time?,The growing demand for frozen food products from the Asian food industry.,https://cafef.vn/doanh-nghiep-viet-20-nam-tuoi-chuyen-lam-do-dong-lanh-xuat-ban-cho-loat-thi-truong-kho-tinh-my-eu-nhat-ban-lai-deu-dan-vai-chuc-ty-moi-nam-cam-ket-chi-tra-co-tuc-cao-nhat-nganh-188240524105510548.chn
"In April, total revenue from the two Green and Global Mobile Power chains increased 25% from March, with the main growth driver coming from refrigeration and cooling products. A report by CTCP Mobile World Investment (MWG) said that the planned four-month revenue reached VND43,039 billion, nearly 17% more than the same period last year, and delivered only 34% of its total revenue for the entire year. In the improvement of revenue, the Green Power Chain contributed the largest share of projected growth with 47.",What percentage of the four-month revenue was contributed by the Green Power Chain's projected growth?,47%.,https://vietnambiz.vn/cao-diem-nang-nong-doanh-thu-mwg-tang-gan-17-trong-4-thang-dau-nam-202452710138731.htm
"The current shareholder structure of CDN is quite unique. The discount rate is 14% - shareholders own 1 cp received 1,400 VND. With 99 million cp in circulation, the Company estimates that the Company will need to spend nearly 139 billion VND to complete the payment.",How much will CDN need to spend to complete the payment to shareholders based on the current shareholder structure and discount rate?,Nearly 139 billion VND.,https://vietstock.vn/2024/05/tong-cong-ty-hang-hai-viet-nam-sap-nhan-hon-100-ty-tu-cdn-738-1193296.htm
Many practical CSR activities have been implemented by MB Ageas Life over the years to support healthy living,What is one focus area of MB Ageas Life's CSR activities?,Supporting healthy living.,https://www.tinnhanhchungkhoan.vn/mb-ageas-life-trao-hoc-bong-cho-tre-em-truong-thpt-dac-biet-nguyen-dinh-chieu-post346000.html
"The FPTS issued almost 86 million cp to existing shareholders. The share capital increased to VND 3. 004 billion, higher than the existing Yuanta Stock, VCBS or KBSV.",How much did the share capital of FPTS increase to after issuing almost 86 million cp to existing shareholders?,The share capital increased to VND 3.004 billion.,https://vietnambiz.vn/von-dieu-le-fpts-vuot-3000-ty-dong-202452783218229.htm
The current economic forecast for Vietnam is that the Vietnamese economy will continue to grow and recover from the high inflation rate.,What is the current economic forecast for Vietnam?,The Vietnamese economy is projected to continue growing and recovering from the high inflation rate.,https://www.tinnhanhchungkhoan.vn/lai-suat-tiet-kiem-tang-tro-lai-ty-gia-giam-ap-luc-post346005.html
"Compared to the October 28th, 2026, the price of CTCP May River Stock (HOSE: MSH) was up more than 70% and peaked at 2 years. In the above context, the leader of MSH and related parties registered a large volume of shares.","What was the peak percentage increase in the price of CTCP May River Stock (HOSE: MSH) compared to October 28th, 2026?",More than 70%.,https://vietstock.vn/2024/05/co-phieu-msh-duoc-gia-lanh-dao-va-nguoi-nha-dang-ky-thoai-von-739-1193405.htm
"In the last week of the week ending June 1st, the world market for gas and cement production will continue to decline by 2. 2 percent in the last two months of the year, as the price of crude oil and gas rose by 0. 4 percent in the first three weeks of the year, as well as in the first three weeks of the year, as the price of crude oil and gas rose by 0.",How much did the world market for gas and cement production decline in the last week of the week ending June 1st?,2.2 percent.,https://www.tinnhanhchungkhoan.vn/thi-truong-hang-hoa-the-gioi-tuan-tu-18-255-da-phan-tang-gia-trong-khi-vang-dong-va-khi-dot-giam-manh-post346017.html
"The TDP is expected to issue more than 8 million dividend-paying shares in 2023. According to the initial business report, the TDP is expected to issue more than 8 million dividend-paying shares, a rate of 10% (respectively 100 shares received 10 new shares). The total issued value at the expected price increase is over 80.",What is the expected rate of new shares issued by the TDP in 2023?,10% (100 shares received 10 new shares).,https://www.tinnhanhchungkhoan.vn/thuan-duc-tdp-sap-phat-hanh-hon-8-trieu-co-phieu-tra-co-tuc-2023-ty-le-10-post346029.html
"According to the PTSC, from 2015 onwards, the demand for survey services, underwater oil and gas industry underwater construction has declined sharply, along with the financial fluctuations, the price disruption. has negatively affected the business production of KSCTN. On the other hand, underground survey services, underground surveys, underground engineering, and underground surveys require expertise.",What factors have negatively affected the business production of KSCTN in the underwater oil and gas industry?,Financial fluctuations and price disruption.,https://www.tinnhanhchungkhoan.vn/ptsc-pvs-sap-sap-nhap-mot-cong-ty-con-ve-dich-vu-khao-sat-va-cong-trinh-ngam-post346035.html
"TAROM trading on UPCoM from 31/05 with a valuation of 478 billion VND Over 78. 3 million cp TAROM trading on UPCoM. The first trading date is 31/05/2024, with the TAROM stock code will be trading again on UPCoM from 31/05/2024.",What was TAROM's valuation when trading on UPCoM from 31/05?,478 billion VND.,https://vietstock.vn/2024/05/tar-giao-dich-tro-lai-tren-upcom-tu-3105-voi-dinh-gia-478-ty-dong-741-1193423.htm
The Ministry of Finance has approved the appointment of Mr. Le Jong-Dung to serve as Chairman of the AIC Insurance Corporation for the term 2023-2028. Mr.,Who has been approved by the Ministry of Finance to serve as Chairman of the AIC Insurance Corporation for the term 2023-2028?,Mr. Le Jong-Dung.,https://vietstock.vn/2024/05/ong-vu-dinh-do-tu-nhiem-chu-tich-hdqt-dnp-sau-gan-thap-ky-gan-bo-214-1192740.htm
"REE Capital Requested to divest from SP2 after more than one year of ownership. If successful, REE Capital Requested to divest from SP2 - a wholly owned subsidiary of CTCP Hydroelectric Power (HOSE: REE) - registered sales of nearly 6 million cp of CTCP Hydroelectric Power 2 (UPCoM: SP2) in the period from 29/05-07/06/2024. The above share value is the total share capital that REE Capital Requested to divest from SP2 (28.",How many shares of CTCP Hydroelectric Power 2 did REE Capital Requested to divest from SP2 in the given period of time?,Nearly 6 million.,https://vietstock.vn/2024/05/nang-luong-ree-muon-thoai-het-von-tai-sp2-sau-hon-1-nam-so-huu-739-1193444.htm
"In 2023 VEAM regarding the liquidation of shares has not yet been completed due to the full listing requirements. The Ministry of Finance of VEAM said that some of the existing, long-standing bottlenecks in the general economy have not been resolved quickly, particularly the demand for debt (which includes the annual capital expenditure of the member companies). The Ministry of Finance of the Ministry of Finance of the Republic of Vietnam has also announced that the annual capital expenditure of the company will continue to increase in 2024.",Why has the liquidation of shares in VEAM not been completed in 2023?,Due to the full listing requirements.,https://vietnambiz.vn/veam-de-xuat-chi-gan-6700-ty-tra-co-tuc-nam-2023-tiep-tuc-ke-hoach-niem-yet-co-phieu-2024527155312544.htm
"(HTC) To accelerate the refinancing, the Ministry of Construction of Hong Kong has requested the State Bank of Hong Kong to consider further reducing the interest rate on the new building to meet the 120,000 billion yuan loan package. At the same time, the Hong Kong Bank of Hong Kong has initiated the study of the new loan package with a proposed interest rate of 3 to 5 percent against the commercial loan, which is 10 to 15 years. In the loan report sent to the Prime Minister on the implementation of the new ""Building of at least 1 million residential housing units by 2030"" project, the Ministry of Construction of Hong Kong has said that the new building base will be reduced to 1.",What interest rate range has the Hong Kong Bank of Hong Kong proposed for the new loan package to help finance the construction of residential housing units?,3 to 5 percent.,https://www.tinnhanhchungkhoan.vn/giai-ngan-goi-vay-120000-ty-dong-chua-dat-1-bo-xay-dung-kien-nghi-giam-them-lai-suat-post346032.html
"KSB plans to issue a total of more than 49 million cp before tax to increase its business operations by 23%, with the company's annual sales and earnings of $750 billion and the pre-tax profit of $130 billion set at the 2024 annual sales meeting (expired on 24/05) with the goal of earning $750 billion and earning $130,000, respectively, an increase of 16% and 23% over 2023. In addition, KSB plans to issue a total of more than 49 million cp to add capital to its business operations. In addition, KSB plans to release a total of nearly 84 billion cp in capital to help its business operations.",How much is KSB planning to increase its pre-tax profit by in 2024 compared to 2023?,0.23,https://vietstock.vn/2024/05/ksb-ke-hoach-lai-truoc-thue-tang-23-muon-phat-hanh-hon-49-trieu-cp-764-1193474.htm
"(MTCK) Notable stock event information on the 28 May transfer to the public on the stock market. Expected trading of the shares in the stock market to be reduced to 18 million shares, down 0. 9%.",How many shares are expected to be traded on the stock market following the MTCK notable stock event on 28 May?,18 million shares.,https://www.tinnhanhchungkhoan.vn/su-kien-chung-khoan-dang-chu-y-ngay-285-post346038.html
"Following the cancellation, TAR shares were approved to be traded on the UPCoM market starting on 31 May. The reference price in the first trading session was 6. 100 PLN/CPP, corresponding to the valuation of nearly 478 billion PLN.",When were TAR shares approved to be traded on the UPCoM market?,Starting on 31 May.,https://vietnambiz.vn/co-phieu-tar-giao-dich-tren-upcom-tu-315-2024527175431976.htm
"The State Bank of Vietnam (NHNN) will adjust the gold market stability plan, in order to continue to implement the effective implementation of the Government's guidelines, the Prime Minister said. The last time the Government held the SJC Gold auction was on 23/5, the State Bank of Vietnam (NHNN) will adjust the gold market stability plan. Accordingly, NHNN will halt the bidding to sell the gold and will implement the alternative stability plan as soon as possible, expected to begin on 3/6/2024.",When is the State Bank of Vietnam (NHNN) expected to begin implementing the alternative gold market stability plan?,6/3/2024 0:00,https://cafef.vn/ngan-hang-nha-nuoc-doi-phuong-an-xu-ly-chenh-lech-gia-vang-dung-dau-thau-vang-mieng-sjc-1882405272019416.chn
"The company reported a net profit of nearly 4,000 plastic companies, of which the major companies of the country's capital stock (HPC) had lost nearly 10% of its capital in the last quarter. The company reported a net profit of nearly $1. 4 billion in the first quarter of 2024, but the company's earnings in the first quarter of 2024, which were expected to increase by $1.",What was the net profit reported by the company in the first quarter of 2024?,Nearly $1.4 billion.,https://www.tinnhanhchungkhoan.vn/co-phieu-nganh-nhua-duoc-ky-vong-post345951.html
"(OJ) The reason given by the company is that it cannot transfer the capital to Angimex (AGM-HSE) through the sale of 100% of the capital to Angimex. Also on 27/5, Angimex announced the transfer of capital to the company. On 27/5, Angimex received a request from the position of Managing Director of the Company and Company Secretary of Ms.",Why was the company unable to transfer the capital to Angimex through the sale of 100% of the capital?,The reason given was that the company cannot transfer the capital to Angimex through the sale of 100% of the capital.,https://www.tinnhanhchungkhoan.vn/angimex-muon-ban-100-von-tai-cong-ty-con-agm-agritech-post346055.html
"(CTCP) CTCP Investment Infrastructure TP. HCM acquired an additional 7,811. 000 NBB shares from its subsidiary CTCP Construction Infrastructure Selling in the year 2012, up from 42,51%, to 50,31% of the seven-year capital ratio from the subsidiary, raising the equity capital of 50,31%.",What percentage of NBB shares did CTCP Investment Infrastructure TP. HCM acquire in the year 2012 from its subsidiary CTCP Construction Infrastructure Selling?,7.8%.,https://www.tinnhanhchungkhoan.vn/dau-tu-ha-tang-ky-thuat-tphcm-cii-mua-lai-hon-78-trieu-co-phieu-nam-bay-bay-nbb-tu-cong-ty-con-post346054.html
"On 7/5, CTCP Investments D. C. continued to sell 1.",What was sold by CTCP Investments D. C. on 7/5?,1,https://www.tinnhanhchungkhoan.vn/lien-tuc-ban-ra-dau-tu-sao-a-dc-khong-con-la-co-dong-lon-cua-van-tai-va-xep-do-hai-an-hah-post346052.html
"World gold recovered from a 2-week low Gold prices rose slightly on Monday (27/05) from a 2-week low recorded in the previous session, when investors assessed dim hopes for a US interest rate drop before the important inflation report was released this weekend. At the end of the trading session on 27/05, the gold contract immediately moved 0. 5% to $2,346.","What caused the slight rise in gold prices on Monday, 27/05?",Investors assessed dim hopes for a US interest rate drop before an important inflation report was released.,https://vietstock.vn/2024/05/vang-the-gioi-phuc-hoi-tu-muc-day-2-tuan-759-1193605.htm
"(CTCK) The Chairman of the former Chairman of the Cao Su Vietnam Industrial Group (CTCP) (GVR-XE) announced the annual shareholder meeting of 2024, which was held on June 17 in online format. In terms of business orientation, in 2024, the former Chairman of the Cao Su Vietnam Industrial Group and its member units will step up the technical management work, implementing the guaranteed and exceeding the 2024 plan; monitoring the overall implementation of the production plan to have a timely plan. The company will increase its purchasing revenue, develop the capacity of the machinery, increase the capital and increase the employment of the shareholders.",When was the annual shareholder meeting of the former Chairman of Cao Su Vietnam Industrial Group held in 2024?,"June 17, in an online format.",https://www.tinnhanhchungkhoan.vn/tap-doan-cong-nghiep-cao-su-viet-nam-gvr-len-ke-hoach-tra-co-tuc-nam-2023-ty-le-3-post346057.html
"Vietnam's main fish export markets are the United States and China (USF) Export exports are expected to recover from a downward trend in 2023. In the latter half of 2021 and the first half of 2022 the fish exports are expected to recover from a low level, but the end of the first half of 2021 and the beginning of 2022 are the industry's profit point as the fish exports and imports of fish (ANV) have increased by 71. 8% compared to the same period last year.",What percentage increase did Vietnam's fish exports and fish imports experience in the end of the first half of 2021 and the beginning of 2022 compared to the same period last year?,71.80%,https://www.tinnhanhchungkhoan.vn/nam-viet-anv-chua-tang-toc-nhu-ky-vong-post345961.html
"SIC is the entity involved in the transaction of 3 individuals: Ms. Deng Thi Thu Ha, Member of the Board of Directors (SDC) does not manage Vinamilk's shares; Mr. Lê Thành Thành, Member of the Executive Board, Managing Director of Vinamilk's Capital Capital; Mr.",Who manages Vinamilk's shares among the individuals involved in the SIC transaction?,"Mr. LÃª ThÃ nh ThÃ nh, Member of the Executive Board, Managing Director of Vinamilk's Capital Capital.",https://vietnambiz.vn/dau-tu-scic-muon-mua-gan-1-trieu-co-phieu-vnm-202452721112425.htm
"On the morning of 24/05 CTCP Stock SBS (signed: SBS) held its second annual shareholder meeting in 2024 due to insufficient shareholder participation. Accordingly, as of closing date, the number of shareholders eligible to participate in the meeting was 19,973 shareholders, representing 146,607,600 shares. However, as of 9/31 24/5, the number of shareholders participating was either directly or through a private retail representative present at the meeting this time were 3 shareholders, representing 13,640,700 shares, representing 9 percent of the total shareholder participation.",What percentage of the total shareholder participation represented the shareholders present at SBS's second annual shareholder meeting on 24/05/2024?,9%.,https://vietnambiz.vn/hai-lan-chung-khoan-sbs-to-chuc-dai-hoi-bat-thanh-2024527223543447.htm
"According to the information on the HCM Securities Exchange Department (HOSE), CTCP Investments D. C. sold 1.",How many units did CTCP Investments D. C. sell according to the information on the HCM Securities Exchange Department (HOSE)?,1,https://vietnambiz.vn/dau-tu-sao-a-ban-gan-2-trieu-co-phieu-hah-va-khong-con-la-co-dong-lon-202452721343719.htm
"According to information published on HOSE, CTCP Rox Living (formerly TNG Realty) had registered the sale of nearly 58. 8 million shares, respectively 2. 94% of the Shares of the TMCP Bank of Vietnam (MSB - MSB): The transaction was scheduled to be conducted from May 30 to June 29 in the form of an agreement with the purpose of restructuring the investment, reducing the ownership ratio to 0.",How many shares of the TMCP Bank of Vietnam did CTCP Rox Living (formerly TNG Realty) register to sell?,"Nearly 58.8 million shares, which is equivalent to 2.94% of the shares of MSB.",https://vietnambiz.vn/rox-living-thanh-vien-cua-tng-muon-ban-ra-gan-59-trieu-co-phieu-msb-202452872524633.htm
"MB is about to spend 2,644 billion cp dividend 2023 5% share. The TMCP Military Bank (MB, HOSE: MBB) announced on 14 June 2024 that it will pay cash dividend 2023 to shareholders. With a 5% spending rate (1 cp receives 500 VND) and nearly 5.",How much will a shareholder receive in cash dividend from TMCP Military Bank for 2023?,"13,220,000 VND",https://vietstock.vn/2024/05/mb-sap-chi-2644-ty-dong-tra-co-tuc-2023-ty-le-5-738-1193612.htm
"After a loss of nearly 204 billion in the first half of the year, Aqua City Corporation continued to incur an additional after-tax loss of 155 billion in the second half of 2023. In 2023, Aqua City lost a total after-tax loss of over 359 billion, before which 2022 also lost over 135 billion. At the time of 31/12/2023, Aqua City's total assets recorded over 12.",What was Aqua City Corporation's total after-tax loss in 2023?,Over 359 billion.,https://vietstock.vn/2024/05/chu-dau-tu-aqua-city-lo-hon-359-ty-dong-trong-nam-2023-737-1193497.htm
"The following analysis may serve the short-term and long-term reference purposes of the Vietstock Consulting Chamber: BVH, CII, HPG, HDB, MSN, OCB, STB, TCB, VIB and VPB. These shares are selected according to the SMA technical analysis signals, liquidity, SMA SMA investor interest rate. The following analysis may serve the short-term and long-term reference purposes of the Vietstock Consulting Chamber.",What criteria were used for selecting the shares by the Vietstock Consulting Chamber?,"SMA technical analysis signals, liquidity, SMA investor interest rate.",https://vietstock.vn/2024/05/ngay-28052024-10-co-phieu-nong-duoi-goc-nhin-ptkt-cua-vietstock-585-1193480.htm
"The Vietnamese dairy industry has been continuously growing according to the figures of the General Administration of the Year for 2023. The country's largest production-scale enterprise, the Powder Industry, owns 15 high-tech farms with a total of 140 thousand cows and a production line comprising 16 factories. The long-term buy-in and hold-in strategy of the Vietnamese Dairy Industry is encouraged as the price of the Vietnamese Dairy Industry is continuing to improve at a very attractive level.","How many high-tech farms does the Powder Industry, the largest production-scale enterprise in Vietnam, own?",15 high-tech farms.,https://vietstock.vn/2024/05/vnm-gia-dang-o-muc-hap-dan-582-1192771.htm
"Pyn Elite Fund has sold close to 2 million cp AAA in the last 3 months. Prior to that, the foreign fund became a major shareholder after purchasing another 3. 75 million cp in the last year, on 29/2, Pyn Elite Fund (non-units) reported sales of 500,000 cp on 21/5, down to 19.",How many cp did Pyn Elite Fund report selling on 21/5?,"500,000 cp.",https://vietnambiz.vn/pyn-elite-fund-khong-con-la-co-dong-lon-nhua-an-phat-xanh-202452874820862.htm
"During the trading session, the shares of DL1 recorded an agreement with the right number of 4 units with a total value of 18. 4 billion yuan (average trading value of 4. 600 million yuan/year).",What was the total value of the shares of DL1 with a right number of 4 units during the trading session?,18.4 billion yuan,https://vietnambiz.vn/global-capital-da-ban-4-trieu-co-phieu-dl1-202452892339942.htm
"On 22/05, Chairman and Vice Chairman of the CTCP CTCP Sao Tome Technology (UPCoM: SBD) also bought 413,401 shares of registered shares for the purpose of increasing ownership ratio. Specifically, on 22/05, Chairman Nguyen Thien-Chang successfully bought 1 million cp from SBD, raising the ownership rate to 22. 19% (equivalent to nearly 3 million cp).",How many shares did Chairman Nguyen Thien-Chang successfully buy on 22/05 in CTCP Sao Tome Technology (UPCoM: SBD)?,1 million shares.,https://vietstock.vn/2024/05/lanh-dao-sbd-tang-so-huu-thanh-cong-co-phieu-duoc-mua-duoi-thi-gia-20-739-1193683.htm
"Information on HCM Securities Exchange Department (HOSE), Mr. Nguyen Van Kha registered to sell 1 million NTL shares of CTCP Development Market from Liam (Lideco) to meet personal financial needs, reducing ownership from 3. 63 million shares",How many NTL shares of CTCP Development Market did Mr. Nguyen Van Kha register to sell on the HCM Securities Exchange Department (HOSE)?,1 million shares.,https://vietstock.vn/2024/05/ong-vu-dinh-do-tu-nhiem-chu-tich-hdqt-dnp-sau-gan-thap-ky-gan-bo-214-1192740.htm
"The Vietnamese General Motors and Agricultural Machinery Company (VEAM, stock code: VEA) will hold a meeting of the Board of Directors of the VEA on June 20 in Hanoi. According to the meeting documents, the company will issue 6. 690 billion won to share dividends to shareholders, i.",When will the Vietnamese General Motors and Agricultural Machinery Company (VEAM) hold a meeting of the Board of Directors?,June 20 in Hanoi.,https://cafef.vn/doanh-nghiep-o-to-lon-nhat-tren-san-du-chi-6700-ty-de-chia-co-tuc-ty-le-50-gia-tri-cong-ty-vot-len-60000-ty-dong-vuot-vietjet-vib-ssi-188240528113147032.chn
"SGT contributed $65 billion to the construction of the SGT-Trained Cemetery Project on May 27, 2024, with the joint venture of MTV Corporation, Inc. Inc. and CTCP, Inc.",How much did SGT contribute to the construction of the SGT-Trained Cemetery Project?,$65 billion.,https://vietstock.vn/2024/05/sgt-gop-65-ty-lap-cong-ty-lien-ket-lam-du-an-cong-vien-nghia-trang-737-1193688.htm
"SHB has won three important awards at the FinanceAsia Awards 2024 in the framework of the FinanceAsia Awards 2024, the SHB has won three important awards categories, which are judged based on the positive impact of the financial sector on the client, society and workers. In 2024, SHB has been awarded three awards: the SHB and SHB have been awarded the right direction in the sustainable development, identifying the human subjects and promoting community responsibility. The FinanceAsia Awards are one of the best value-added awards in the finance sector, which is organized by the FinanceAsia Awards 2024, the FinanceAsia Awards and the Board of Directors.",How many awards did SHB win at the FinanceAsia Awards 2024?,Three awards.,https://vietstock.vn/2024/05/shb-chien-thang-03-giai-thuong-quan-trong-tai-financeasia-awards-2024-757-1193684.htm
